ID	centroid_x	centroid_y	centroid_z	volume	integrated_intensity	eccentricity	elongation	orientation	bounding_box_volume	sum	mean	minimum	maximum	sigma	variance	surface_gradient	interior_gradient	surface_intensity	interior_intensity	intensity_ratio	convexity	radius_variation	surface_area	shape	shared_boundary	t_energy	t_entropy	inverse_diff_moment	inertia	cluster_shade	cluster_prominence	
155.00	273.00	526.00	0.00	447.00	24079.00	0.68	1.36	1.11	572.00	24079.00	53.87	25.00	91.00	17.96	322.72	6.33	0.00	53.87	0.00	0.00	0.00	0.69	447.00	3.95	0.02	0.00	8.94	0.21	37.36	7859.37	2933604.25	
156.00	754.00	688.00	0.00	444.00	20991.00	0.70	1.40	2.46	676.00	20991.00	47.28	22.00	77.00	15.03	225.77	5.19	0.00	47.28	0.00	0.00	0.00	0.70	444.00	3.93	0.02	0.00	8.95	0.08	52.91	2173.70	1080584.75	
157.00	605.00	372.00	0.00	442.00	29316.00	0.65	1.31	2.44	552.00	29316.00	66.33	25.00	120.00	28.47	810.61	10.16	0.00	66.33	0.00	0.00	0.00	0.69	442.00	3.91	0.00	0.00	9.37	0.06	159.52	21904.26	14152996.00	
158.00	101.00	323.00	0.00	441.00	28910.00	0.67	1.35	2.19	552.00	28910.00	65.56	25.00	127.00	31.07	965.17	10.69	0.00	65.56	0.00	0.00	0.00	0.71	441.00	3.90	0.00	0.00	9.41	0.08	194.17	65721.59	21961350.00	
159.00	203.00	246.00	0.00	437.00	28447.00	0.73	1.47	2.42	576.00	28447.00	65.10	25.00	155.00	37.09	1375.33	12.51	0.00	65.10	0.00	0.00	0.00	0.72	437.00	3.86	0.00	0.00	9.35	0.05	344.77	264576.22	61826412.00	
160.00	928.00	354.00	0.00	436.00	21908.00	0.76	1.53	2.31	575.00	21908.00	50.25	23.00	78.00	16.31	265.98	6.19	0.00	50.25	0.00	0.00	0.00	0.72	436.00	3.86	0.01	0.00	9.05	0.14	77.69	-1419.79	1381084.50	
161.00	753.00	453.00	0.00	435.00	27653.00	0.57	1.22	2.57	528.00	27653.00	63.57	25.00	118.00	24.67	608.66	8.56	0.00	63.57	0.00	0.00	0.00	0.68	435.00	3.85	0.02	0.00	9.30	0.09	110.56	11174.24	9268825.00	
162.00	686.00	657.00	0.00	435.00	16086.00	0.71	1.42	2.89	540.00	16086.00	36.98	23.00	59.00	9.82	96.39	3.43	0.00	36.98	0.00	0.00	0.00	0.69	435.00	3.85	0.01	0.00	8.31	0.19	18.31	2800.62	249626.25	
163.00	1114.00	99.00	0.00	433.00	22242.00	0.66	1.34	2.27	552.00	22242.00	51.37	25.00	85.00	18.04	325.35	6.60	0.00	51.37	0.00	0.00	0.00	0.68	433.00	3.83	0.00	0.00	9.09	0.12	74.07	3724.27	2231347.50	
164.00	557.00	309.00	0.00	433.00	22289.00	0.86	1.98	2.18	644.00	22289.00	51.48	23.00	99.00	20.94	438.34	8.01	0.00	51.48	0.00	0.00	0.00	0.82	433.00	3.83	0.00	0.00	9.25	0.05	138.12	30566.00	4851651.50	
